attribute_infobox;attribute_mapping
type;dbo:type
national_origin;dbo:origin
manufacturer;dbo:manufacturer
builder;
design_group;
designer;dbo:designer
first_flight;
introduced;
introduction;dbo:introductionDate
retired;dbo:retired
status;
primary_user;
more_users;
produced;
number_built;dbo:numberBuilt
developed_from;
variants;
developed_into;
others_names;
construction_number;
construction_date;
civil_registration;
military_serial;
radio_code;
major_application;
status;
aim;
requirement;
issuer;
service;
value;
initiated;
expected;
proposals;
prototypes;
concluded;
outcome;
predecessors;dbo:predecessor
successors;dbo:successor
