attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
IATA;dbo:iataLocationIdentifier
ICAO;dbo:icaoLocationIdentifier
FAA;dbo:faaLocationIdentifier
TC;
LID;
GPS;
WMP;
type;dbo:type
owner;dbo:owner
operator;dbo:operator
city-served;dbo:city
location;dbo:location
opened;dbo:openingDate
closed;
passenger_services_ceased;
hub;
focus_city;
base;
timezone;
utc;
summer;
utcs;
website;
r_length;dbo:runwayLength
r_designation;dbo:runwayDesignation
r_surface;dbo:runwaySurface
