attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
native_name;
birth_name;dbo:birthName
birth_date;dbo:birthDate
birth_place;dbo:birthPlace
baptised;
death_date;dbo:deathDate
death_place;dbo:deathPlace
resting_place;dbo:restingPlace
nationality;dbo:nationality
education;dbo:education,dbo:training
alma_mater;dbo:almaMater
known_for;dbo:field,dbo:knownFor
notable_works;dbo:notableWork
style;
movement;dbo:movement
spouse;dbo:spouse
partner;dbo:partner
children;dbo:child
parents;dbo:parent
father;
mother;
relatives;dbo:relative
family;
awards;dbo:award
elected;
patrons;
memorials;
website;http://xmlns.com/foaf/0.1/homepage
