attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
type;dbo:type
industry;dbo:industry
predecessor;dbo:predecessor
founded;dbo:foundingDate,dbo:foundingYear
founder;dbo:foundedBy
defunct;
fate;dbo:fate
sucessor;dbo:successor
hq_location_city;dbo:locationCity
hq_location_country;dbo:country,dbo:locationCountry
area_served;dbo:location
key_people;dbo:keyPerson
products;dbo:product
owner;dbo:owner
num_employees;dbo:numberOfEmployees
num_employees_year;
parent;dbo:parentCompany
website;http://xmlns.com/foaf/0.1/homepage
