attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
native_name;
director;dbo:director
writer;dbo:writer
screenplay;
story;
based_on;
producer;dbo:producer
starring;dbo:starring
narrator;dbo:narrator
cinematography;dbo:cinematography
editing;dbo:editing
music;dbo:musicComposer,dbo:composer
studio;dbo:productionCompany
distributor;dbo:distributor
released;dbo:releaseDate,dbo:releaseLocation
runtime;dbo:runtime
country;dbo:country
language;dbo:language
budget;dbo:budget
gross;dbo:gross
