attribute_infobox;attribute_mapping
name;http://xmlns.com/foaf/0.1/name
latin_name;dbo:alternativeName
other_name;dbo:other
former_name;dbo:formerName
motto;dbo:motto
mottoeng;
type;dbo:type
established;
closed;dbo:closed
founder;
parent;
accreditation;
affiliation;dbo:affiliation
religious_affiliation;
academic_affiliation;
endowment;dbo:endowment
budget;
officer_in_charge;dbo:officerInCharge
chair;
chairman;dbo:chairman
chairperson;
chancellor;dbo:chancellor
president;dbo:president
vice_president;dbo:vicePresident
provost;dbo:provost
rector;dbo:rector
principal;dbo:principal
director;dbo:director
dean;dbo:dean
academic_staff;
total_staff;
student;dbo:numberOfStudents
undergrad;dbo:numberOfUndergraduateStudents
postgrad;dbo:numberOfPostgraduateStudents
doctoral;dbo:numberOfDoctoralStudents
alumni;
other_students;
address;
city;dbo:city
state;dbo:state
province;
country;dbo:country
postalcode;
campus_type;dbo:campus
campus_size;
language;
colors;dbo:officialSchoolColour
sports_nickname;dbo:sport
sporting_affiliation;
mascot;dbo:mascot
website;http://xmlns.com/foaf/0.1/homepage
